tract,gsmn_math_g3_2013,,Census Tract,,
32003,4.1708279,,320.03,32003,TRUE
32004,4.1708279,,320.04,32004,TRUE
32008,4.1708279,,320.08,32008,TRUE
32009,4.1708279,,320.09,32009,TRUE
32010,4.1708279,,320.1,32010,TRUE
32011,4.1708279,,320.11,32011,TRUE
32012,4.1708279,,320.12,32012,TRUE
32013,4.6734486,,320.13,32013,TRUE
100,2.356993,,1,100,TRUE
201,2.356993,,2.01,201,TRUE
202,2.356993,,2.02,202,TRUE
300,2.356993,,3,300,TRUE
401,2.356993,,4.01,401,TRUE
404,2.356993,,4.04,404,TRUE
405,2.356993,,4.05,405,TRUE
406,2.356993,,4.06,406,TRUE
500,2.356993,,5,500,TRUE
601,2.356993,,6.01,601,TRUE
603,3.774493,,6.03,603,TRUE
605,2.356993,,6.05,605,TRUE
606,3.774493,,6.06,606,TRUE
701,2.356993,,7.01,701,TRUE
702,2.356993,,7.02,702,TRUE
800,2.356993,,8,800,TRUE
900,2.356993,,9,900,TRUE
1001,2.356993,,10.01,1001,TRUE
1002,2.356993,,10.02,1002,TRUE
1101,2.356993,,11.01,1101,TRUE
1102,2.356993,,11.02,1102,TRUE
1202,2.356993,,12.02,1202,TRUE
1203,2.356993,,12.03,1203,TRUE
1204,2.356993,,12.04,1204,TRUE
1301,2.356993,,13.01,1301,TRUE
1302,2.356993,,13.02,1302,TRUE
1400,2.356993,,14,1400,TRUE
1502,2.356993,,15.02,1502,TRUE
1503,2.356993,,15.03,1503,TRUE
1504,2.356993,,15.04,1504,TRUE
1600,2.356993,,16,1600,TRUE
1701,2.356993,,17.01,1701,TRUE
1703,2.356993,,17.03,1703,TRUE
1704,2.356993,,17.04,1704,TRUE
1800,2.356993,,18,1800,TRUE
1900,2.356993,,19,1900,TRUE
2000,2.356993,,20,2000,TRUE
2100,2.356993,,21,2100,TRUE
2200,2.356993,,22,2200,TRUE
2400,2.356993,,24,2400,TRUE
2500,2.356993,,25,2500,TRUE
2701,2.356993,,27.01,2701,TRUE
2702,2.356993,,27.02,2702,TRUE
